Cleaned,Council District,Short Description,Type,Enrolled,Females,Max Count Allowed,Begin Age,End Age,Begin Date,End Date,Begin Time,End Time,Season,
Jim Gilliam Recreation Center,10,Fall GPLA Softball - Minors,Softball,0,0,60,9,10,9/9/2017,11/25/2017, 9:30 am,12:00 PM,Fall,
Cypress Recreation Center,1,Winter GPLA Basketball (10 - 13),Basketball,33,33,40,10,13,1/14/2017,3/31/2017, 9:00 am, 5:30 pm,Winter,
Cypress Recreation Center,1,Winter GPLA Basketball - Majors,Basketball,0,0,50,11,12,1/4/2017,3/29/2017, 6:00 pm, 7:00 pm,Winter,
Van Ness Recreation Center,8,Winter GPLA Basketball - Majors,Basketball,0,0,40,11,12,1/7/2017,3/31/2017, 9:00 am, 9:00 pm,Winter,
Van Ness Recreation Center,8,Winter GPLA Girls Basketball: Majors (11-12),Basketball,5,5,60,11,12,1/7/2017,3/11/2017, 8:00 am,11:00 AM,Winter,
Normandale Recreation Center,15,Winter GPLA Basketball - Major (11-13),Basketball,0,0,28,11,13,1/7/2017,2/25/2017, 9:00 am, 9:00 pm,Winter,
Normandale Recreation Center,15,Winter GPLA Basketball: Majors,Basketball,72,72,100,11,12,1/9/2017,3/25/2017, 5:00 pm, 8:00 pm,Winter,
Normandale Recreation Center,15,Winter GPLA Basketball - Major (11 - 12),Basketball,0,0,60,11,12,1/14/2017,3/18/2017, 9:00 am, 6:00 pm,Winter,
Normandale Recreation Center,15,Winter GPLA Basketball - Major (11-12),Basketball,32,32,32,11,12,1/14/2017,2/25/2017, 2:00 pm, 7:00 pm,Winter,
Branford Park,6,Winter GPLA Basketball - Majors (11-12),Basketball,10,10,32,11,12,1/14/2017,3/4/2017, 9:00 am, 5:00 pm,Winter,
Westchester Recreation Center,11,Winter GPLA Basketball - Junior (11-15),Basketball,0,0,24,11,15,1/14/2017,2/25/2017, 9:00 am, 2:00 pm,Winter,
Stoner Recreation Center,11,Summer GPLA - Majors (11-12),Basketball,1,1,36,11,12,1/14/2017,3/11/2017, 9:00 am, 2:00 pm,Winter,
Elysian Valley Recreation Center,13,Winter GPLA Basketball - Major (11-13),Basketball,0,0,100,11,13,1/14/2017,2/25/2017, 9:00 am, 5:00 pm,Winter,
Elysian Valley Recreation Center,13,Winter GPLA Basketball: Majors,Basketball,10,10,45,11,12,1/14/2017,3/24/2017, 5:00 pm, 8:00 pm,Winter,
Hubert H. Humphrey Memorial Park,7,Winter GPLA Basketball: Majors/Juniors,Basketball,0,0,48,11,15,1/14/2017,3/24/2017, 5:00 pm, 8:00 pm,Winter,
Oakwood Recreation Center,11,Winter GPLA Basketball - Majors (11 -12),Basketball,0,0,50,11,12,1/14/2017,3/25/2017, 9:00 am, 9:00 pm,Winter,
Oakwood Recreation Center,11,Winter GPLA Basketball - Majors,Basketball,0,0,40,11,12,1/20/2017,3/4/2017,10:00 AM, 9:00 pm,Winter,
Oakwood Recreation Center,11,Winter GPLA Basketball - Majors,Basketball,26,26,60,11,12,1/21/2017,2/25/2017, 6:00 pm, 9:00 pm,Winter,
Ritchie Valens Park,7,Winter GPLA Volleyball - Majors,Volleyball,17,17,60,11,12,1/21/2017,3/25/2017, 9:00 am, 6:00 pm,Winter,
Ritchie Valens Park,7,Winter GPLA Basketball - Majors (11 -12),Basketball,46,46,56,11,12,1/21/2017,3/25/2017, 9:00 am, 9:00 pm,Winter,
Ritchie Valens Park,7,Winter Basketball: GPLA Majors,Basketball,0,0,30,11,12,1/23/2017,3/30/2017, 5:00 pm, 9:00 pm,Winter,
Msgr. Ramon D. Garcia Recreation Center,14,Winter GPLA Basketball: Majors,Basketball,33,33,60,11,12,1/28/2017,4/8/2017, 9:00 am, 6:00 pm,Winter,
Msgr. Ramon D. Garcia Recreation Center,14,Winter GPLA Basketball - Majors,Basketball,0,0,50,11,12,1/28/2017,3/25/2017, 9:00 am, 5:00 pm,Winter,
Panorama City Recreation Center,6,Spring GPLA Volleyball - Major,Soccer Futsal,0,0,60,11,12,2/25/2017,5/31/2017,11:00 AM,12:00 PM,Spring,
Seoul International Park,10,Spring GPLA Basketball: Majors,Basketball,0,0,200,11,12,3/4/2017,4/22/2017, 9:00 am, 6:00 pm,Spring,
Wabash Recreation Center,14,Spring GPLA Softball: Juniors,Volleyball,0,0,72,11,12,3/18/2017,4/29/2017, 9:00 am, 5:00 pm,Spring,
Wabash Recreation Center,14,Spring GPLA Softball - Majors,Softball,0,0,30,11,12,3/25/2017,6/3/2017,11:00 AM,12:00 PM,Spring,
Rancho Cienega Sports Complex,10,Spring Basketball - GPLA Major (11-13),Basketball,0,0,50,11,12,4/1/2017,6/30/2017, 9:00 am, 6:00 pm,Spring,
Lincoln Heights Recreation Center,1,Spring GPLA Softball - Major,Softball,29,29,30,11,12,4/1/2017,6/17/2017, 9:30 am,12:00 PM,Spring,
Lincoln Heights Recreation Center,1,Spring Basketball: GPLA Majors,Basketball,3,3,40,11,12,4/8/2017,6/24/2017, 9:00 am, 6:00 pm,Spring,
Lincoln Heights Recreation Center,1,Spring GPLA Kickball (11 - 12),Kickball,0,0,40,11,12,4/8/2017,6/3/2017, 3:00 pm, 5:00 pm,Spring,
El Sereno Recreation Center,14,Spring GPLA Softball: Majors,Softball,34,34,60,11,12,4/14/2017,6/17/2017, 9:00 am, 6:00 pm,Spring,
El Sereno Recreation Center,14,Spring GPLA Basketball: Majors,Basketball,42,42,45,11,12,4/15/2017,6/10/2017, 5:00 pm, 8:00 pm,Spring,
Reseda Park,3,Spring GPLA Basketball (13 - 15),Basketball,35,35,40,11,12,5/6/2017,6/24/2017,10:00 AM, 2:00 pm,Spring,
Reseda Park,3,Spring/Summer GPLA Basketball - Majors,Basketball,67,67,75,11,12,5/27/2017,7/29/2017,10:00 AM, 9:00 pm,Spring,
Yosemite Recreation Center,14,Summer GPLA Basketball: Majors,Basketball,17,17,20,11,12,6/1/2017,9/9/2017, 9:00 am, 6:00 pm,Summer,
Yosemite Recreation Center,14,Summer GPLA Basketball Majors (11-12),Basketball,44,44,100,11,12,6/3/2017,8/26/2017, 9:00 am, 2:00 pm,Summer,
Yosemite Recreation Center,14,Summer GPLA Basketball - Majors,Basketball,0,0,80,11,12,6/10/2017,8/26/2017, 5:00 pm, 9:00 pm,Summer,
WIlmington Recreation Center,15,Summer GPLA Basketball - Major,Basketball,0,0,60,11,12,6/10/2017,9/2/2017, 9:00 am, 5:00 pm,Summer,
Shatto Recreation Center,13,Summer GPLA Beach Soccer - Majors,Soccer Futsal,172,172,200,11,12,7/6/2017,9/16/2017, 4:30 pm, 5:30 pm,Summer,
Shatto Recreation Center,13,Summer GPLA Beach Volleyball - Majors,Volleyball,50,50,200,11,12,7/6/2017,9/16/2017, 4:30 pm, 5:30 pm,Summer,
Culver-Slauson Park,11,Summer GPLA Basketball - Major,Basketball,21,21,60,11,12,7/8/2017,9/9/2017, 9:00 am, 9:00 pm,Summer,
Imperial Courts Recreation Center,15,Summer GPLA Basketball - Majors,Basketball,0,0,20,11,12,7/8/2017,9/2/2017, 9:00 am, 6:00 pm,Summer,
Jim Gilliam Recreation Center,10,Fall GPLA Softball - Majors,Softball,0,0,55,11,12,9/9/2017,11/25/2017, 9:30 am,12:00 PM,Fall,
Jim Gilliam Recreation Center,10,Winter GPLA Basketball - Junior (12-16),Basketball,0,0,50,12,16,1/7/2017,2/25/2017, 9:00 am, 9:00 pm,Winter,
Echo Park,13,Winter GPLA Basketball : Girls Majors/Juniors,Basketball,0,0,22,12,15,1/14/2017,3/4/2017,12:00 PM, 3:00 pm,Winter,
Echo Park,13,Spring Girls Softball - GPLA (12 - 16),Softball,4,4,60,12,16,4/1/2017,6/30/2017, 9:00 am, 9:00 pm,Spring,
Echo Park,13,Spring GPLA Volleyball - Juniors (12 - 14),Volleyball,52,52,60,12,14,4/3/2017,6/24/2017, 5:00 pm, 9:00 pm,Spring,
Bellevue Recreation Center,13,Spring GPLA Softball (12-17),Softball,0,0,75,12,17,4/8/2017,6/10/2017,10:00 AM, 8:00 pm,Spring,
Bellevue Recreation Center,13,Spring GPLA Softball - Juniors (12-15),Softball,0,0,48,12,15,4/29/2017,7/1/2017, 5:00 pm, 8:00 pm,Spring,
Hazard Park,14,Summer GPLA Basketball - Juniors (12 - 14),Basketball,1,1,30,12,14,6/10/2017,8/25/2017, 9:00 am, 5:00 pm,Summer,
Hazard Park,14,Winter GPLA Basketball - Juniors,Basketball,0,0,40,13,15,1/4/2017,3/29/2017, 6:00 pm, 7:00 pm,Winter,
North Hollywood Park,2,Winter GPLA Basketball - Juniors,Basketball,9,9,60,13,15,1/7/2017,3/31/2017, 9:00 am, 9:00 pm,Winter,
North Hollywood Park,2,Winter GPLA Softball - Junior (13 - 15),Softball,7,7,60,13,15,1/7/2017,3/4/2017, 9:00 am, 6:00 pm,Winter,
Yosemite Recreation Center,14,Winter GPLA Girls Basketball: Juniors (13-15),Basketball,0,0,50,13,15,1/7/2017,3/11/2017, 8:00 am,11:00 AM,Winter,
Yosemite Recreation Center,14,Winter Girls Basketball: GPLA  Juniors,Basketball,0,0,48,13,15,1/7/2017,2/25/2017, 5:30 pm, 7:00 pm,Winter,
Lake Street Park,13,Winter Girls Basketball: GPLA  Juniors,Basketball,0,0,48,13,15,1/7/2017,3/4/2017, 5:30 pm, 7:00 pm,Winter,
Lake Street Park,13,Winter GPLA Basketball: Juniors,Basketball,5,5,40,13,15,1/9/2017,3/25/2017, 9:00 am, 4:00 pm,Winter,
Lake Street Park,13,Winter GPLA Juniors Volleyball,Volleyball,29,29,40,13,15,1/13/2017,3/17/2017, 5:00 pm, 8:00 pm,Winter,
Fernangeles Recreation Center,6,Winter GPLA Basketball - Junior (13 - 15),Basketball,0,0,60,13,15,1/14/2017,3/18/2017, 9:00 am, 6:00 pm,Winter,
Fernangeles Recreation Center,6,Winter GPLA Basketball -  Junior (13-15),Basketball,0,0,20,13,15,1/14/2017,2/25/2017, 2:00 pm, 7:00 pm,Winter,
Lemon Grove Recreation Center,13,Winter Girls Basketball - GPLA (13-16),Basketball,0,0,50,13,16,1/14/2017,3/4/2017, 8:00 am, 2:00 pm,Winter,
Lemon Grove Recreation Center,13,Winter GPLA Basketball - Juniors (13-15),Basketball,40,40,60,13,15,1/14/2017,3/4/2017, 9:00 am, 5:00 pm,Winter,
Algin Sutton Recreation Center,8,Winter Basketball: GPLA Juniors (13-15),Basketball,0,0,100,13,15,1/14/2017,3/11/2017, 9:00 am, 2:00 pm,Winter,
Algin Sutton Recreation Center,8,Summer GPLA - Juniors (13-15),Basketball,24,24,100,13,15,1/14/2017,3/11/2017, 9:00 am, 2:00 pm,Winter,
Alpine Recreation Center,1,Winter GPLA Basketball - Junior (13-16),Basketball,0,0,100,13,16,1/14/2017,2/25/2017, 9:00 am, 5:00 pm,Winter,
Banning Park,15,Winter GPLA Basketball: Juniors,Basketball,28,28,45,13,15,1/14/2017,3/24/2017, 5:00 pm, 8:00 pm,Winter,
Montecito Heights Recreation Center,1,Winter GPLA Basketball - Juniors,Basketball,2,2,40,13,15,1/14/2017,3/25/2017, 9:00 am, 5:00 pm,Winter,
Montecito Heights Recreation Center,1,Winter GPLA Basketball - Juniors (13 -15),Basketball,0,0,30,13,15,1/14/2017,3/25/2017, 9:00 am, 9:00 pm,Winter,
Rose Hill Recreation Center,14,Winter GPLA Basketball - Juniors,Basketball,0,0,75,13,15,1/20/2017,3/4/2017,10:00 AM, 9:00 pm,Winter,
Rose Hill Recreation Center,14,Winter Girls Basketball: GPLA Juniors,Basketball,37,37,60,13,15,1/21/2017,3/11/2017,10:00 AM, 4:00 pm,Winter,
Evergreen Recreation Center,14,Winter GPLA Basketball: Juniors,Basketball,32,32,45,13,15,1/21/2017,3/24/2017, 5:00 pm, 8:00 pm,Winter,
Evergreen Recreation Center,14,Winter GPLA Volleyball - Juniors,Volleyball,0,0,40,13,15,1/21/2017,3/25/2017, 9:00 am, 6:00 pm,Winter,
Lanark Recreation Center,3,Spring GPLA Basketball - Juniors,Basketball,45,45,50,13,15,1/21/2017,3/25/2017, 6:00 pm, 9:00 pm,Spring,
Lanark Recreation Center,3,Winter GPLA Basketball - Juniors (13 -15),Basketball,29,29,30,13,15,1/21/2017,3/25/2017, 9:00 am, 9:00 pm,Winter,
Lanark Recreation Center,3,Winter Basketball: GPLA Juniors,Basketball,56,56,60,13,15,1/23/2017,3/30/2017, 5:00 pm, 9:00 pm,Winter,
Shatto Recreation Center,13,Winter GPLA Basketball - (13 - 15),Basketball,12,12,60,13,15,1/28/2017,3/25/2017, 9:00 am, 6:00 pm,Winter,
Shatto Recreation Center,13,Winter GPLA Basketball: Juniors,Basketball,0,0,40,13,15,1/28/2017,4/8/2017, 9:00 am, 6:00 pm,Winter,
Queen Anne Recreation Center,10,Winter GPLA Basketball - Juniors,Basketball,0,0,30,13,15,1/28/2017,3/25/2017, 9:00 am, 5:00 pm,Winter,
Saint Andrews Recreation Center,8,Winter GPLA Basketball - Junior (13 - 15),Basketball,14,14,15,13,15,1/28/2017,3/18/2017, 5:00 pm, 9:00 pm,Winter,
Saint Andrews Recreation Center,8,Spring GPLA Softball - Juniors (13-15),Softball,0,0,48,13,15,2/1/2017,6/24/2017, 5:00 pm, 8:00 pm,Spring,
Saint Andrews Recreation Center,8,Spring GPLA Junior Softball,Softball,0,0,100,13,15,2/10/2017,6/3/2017, 9:00 am, 9:00 pm,Spring,
Lake Street Park,13,Spring Softball: GPLA Juniors (13-15),Softball,33,33,60,13,15,2/11/2017,4/1/2017, 9:00 am, 6:00 pm,Spring,
Lake Street Park,13,Spring GPLA Volleyball - Junior,Soccer Futsal,2,2,25,13,15,2/25/2017,5/31/2017,12:00 PM, 1:00 pm,Spring,
Lake Street Park,13,Spring Softball: GPLA  Juniors (13- 16),Softball,16,16,30,13,16,2/27/2017,5/3/2017, 9:00 am, 9:00 pm,Spring,
Ritchie Valens Park,7,Spring Softball: GPLA Juniors,Softball,0,0,24,13,15,3/1/2017,6/30/2017, 9:30 am,10:30 AM,Spring,
Ritchie Valens Park,7,Spring GPLA Basketball: Juniors,Basketball,2,2,50,13,15,3/4/2017,4/22/2017, 9:00 am, 6:00 pm,Spring,
Ritchie Valens Park,7,Spring GPLA Softball - Juniors (13 - 15),Softball,0,0,28,13,15,3/8/2017,6/30/2017, 9:00 am, 9:00 pm,Spring,
Fernangeles Recreation Center,6,Spring GPLA Juniors Volleyball,Volleyball,0,0,60,13,15,3/18/2017,4/29/2017, 9:00 am, 5:00 pm,Spring,
Fernangeles Recreation Center,6,Spring GPLA Softball - Juniors,Softball,6,6,48,13,16,3/23/2017,6/10/2017, 5:00 pm, 9:00 pm,Spring,
Sylmar Park,7,Spring GPLA Softball - Juniors,Softball,0,0,14,13,15,3/25/2017,6/3/2017,12:00 PM, 1:00 pm,Spring,
Sylmar Park,7,Spring GPLA Softball (13 - 17),Softball,21,21,60,13,17,3/25/2017,6/30/2017, 9:00 am, 9:00 pm,Spring,
Sylmar Park,7,Spring GPLA Volleyball (13 - 17),Volleyball,7,7,60,13,17,3/25/2017,6/30/2017, 9:00 am, 9:00 pm,Spring,
Sylmar Park,7,Spring GPLA  Softball: Junior,Softball,18,18,40,13,15,4/1/2017,5/27/2017, 4:00 pm, 8:00 pm,Spring,
Fred Roberts Recreation Center,9,Spring GPLA Softball - Juniors,Softball,41,41,100,13,15,4/1/2017,6/30/2017, 9:00 am, 5:00 pm,Spring,
Fred Roberts Recreation Center,9,Spring GPLA Softball - Junior,Softball,43,43,52,13,15,4/1/2017,6/17/2017, 9:30 am,12:00 PM,Spring,
Shatto Recreation Center,13,Spring GPLA Softball: Juniors,Softball,20,20,60,13,15,4/1/2017,6/24/2017, 5:30 pm, 9:30 pm,Spring,
Hazard Park,14,Spring Softball: GPLA Juniors (13 - 15),Softball,0,0,50,13,15,4/1/2017,6/30/2017, 9:00 am, 8:00 pm,Spring,
Hazard Park,14,GPLA  Juniors Softball,Softball,0,0,48,13,15,4/8/2017,6/3/2017, 4:00 pm, 8:00 pm,Spring,
Westchester Recreation Center,11,Spring GPLA Juniors Softball,Softball,0,0,60,13,15,4/8/2017,6/10/2017, 9:00 am, 5:00 pm,Spring,
Pecan Recreation Center,14,Spring Basketball: GPLA Juniors,Basketball,19,19,40,13,15,4/8/2017,6/24/2017, 9:00 am, 6:00 pm,Spring,
Pecan Recreation Center,14,Spring GPLA Kickball (9 - 10),Kickball,0,0,40,13,15,4/8/2017,6/3/2017, 3:00 pm, 5:00 pm,Spring,
Cabrillo Beach,15,Spring GPLA Softball - Juniors,Softball,0,0,50,13,15,4/12/2017,6/14/2017, 6:00 pm, 9:00 pm,Spring,
Cabrillo Beach,15,Spring GPLA Softball: Juniors,Softball,26,26,60,13,15,4/14/2017,6/17/2017, 9:00 am, 6:00 pm,Spring,
Cabrillo Beach,15,Spring GPLA Softball: Juniors,Softball,42,42,50,13,15,4/15/2017,6/17/2017, 9:00 am, 6:00 pm,Spring,
Cabrillo Beach,15,Spring GPLA Softball - Juniors,Softball,0,0,60,13,15,4/15/2017,6/17/2017, 5:30 pm, 7:30 pm,Spring,
Cabrillo Beach,15,Spring GPLA Softball Juniors (13-15),Softball,0,0,50,13,15,4/15/2017,6/10/2017, 9:00 am, 5:00 pm,Spring,
Cabrillo Beach,15,Spring Girls Softball - GPLA Juniors,Softball,0,0,60,13,15,4/15/2017,6/3/2017, 9:00 am, 9:00 pm,Spring,
Queen Anne Recreation Center,10,Spring GPLA Basketball: Juniors,Basketball,17,17,45,13,15,4/15/2017,6/10/2017, 5:00 pm, 8:00 pm,Spring,
Echo Park,13,Spring GPLA Softball: Juniors,Softball,0,0,60,13,15,4/22/2017,6/10/2017,10:00 AM, 4:00 pm,Spring,
Echo Park,13,Spring GPLA Softball (13 - 15),Softball,90,90,100,13,15,4/22/2017,6/3/2017, 9:00 am, 4:00 pm,Spring,
Echo Park,13,Spring GPLA Softball: Juniors,Softball,22,22,48,13,15,4/22/2017,6/10/2017, 6:00 pm, 9:00 pm,Spring,
Stoner Recreation Center,11,Spring GPLA Softball: Junior,Softball,20,20,40,13,15,4/22/2017,6/10/2017, 5:00 pm, 8:00 pm,Spring,
Stoner Recreation Center,11,Spring GPLA Softball - Juniors,Softball,0,0,56,13,15,4/29/2017,6/24/2017, 9:00 am, 6:00 pm,Spring,
Lake View Terrace Recreation Center,7,GPLA Softball - Juniors,Softball,0,0,60,13,15,5/20/2017,7/1/2017, 9:30 am, 4:00 pm,Spring,
Lake View Terrace Recreation Center,7,Spring/Summer GPLA Basketball - Juniors,Basketball,7,7,75,13,15,5/27/2017,7/29/2017,10:00 AM, 9:00 pm,Spring,
Lake View Terrace Recreation Center,7,Summer GPLA Basketball: Juniors,Basketball,0,0,40,13,15,6/1/2017,9/9/2017, 9:00 am, 6:00 pm,Summer,
Saint Andrews Recreation Center,8,Summer GPLA Basketball  Juniors (13-15),Basketball,0,0,100,13,15,6/3/2017,8/26/2017, 9:00 am, 2:00 pm,Summer,
Sunland Park,7,Summer GPLA Basketball - Juniors,Basketball,57,57,60,13,15,6/10/2017,9/2/2017, 9:00 am, 5:00 pm,Summer,
Sunland Park,7,Summer GPLA Volleyball: Juniors,Volleyball,0,0,100,13,15,7/3/2017,10/30/2017, 4:00 pm, 7:00 pm,Summer,
Panorama City Recreation Center,6,Summer GPLA Beach Soccer - Juniors,Soccer Futsal,0,0,200,13,15,7/6/2017,9/16/2017, 4:30 pm, 5:30 pm,Summer,
East Wilmington Greenbelt Community Center,15,Summer GPLA Beach Volleyball - Juniors,Volleyball,122,122,200,13,15,7/6/2017,9/16/2017, 4:30 pm, 5:30 pm,Summer,
Shatto Recreation Center,13,Summer GPLA Softball - Juniors,Softball,19,19,60,13,15,7/6/2017,8/26/2017, 9:30 am, 4:00 pm,Summer,
Ritchie Valens Park,7,Summer GPLA Basketball - Junior,Basketball,35,35,60,13,15,7/8/2017,9/9/2017, 9:00 am, 9:00 pm,Summer,
Ritchie Valens Park,7,Summer GPLA Basketball - Majors/Juniors,Basketball,0,0,40,13,16,7/8/2017,9/9/2017,12:00 PM, 3:00 pm,Summer,
Ritchie Valens Park,7,Summer GPLA Basketball - Juniors,Basketball,0,0,20,13,15,7/8/2017,9/2/2017, 9:00 am, 6:00 pm,Summer,
Ritchie Valens Park,7,Summer GPLA Soccer - Juniors,Soccer Futsal,5,5,80,13,15,7/8/2017,9/2/2017, 9:00 am, 5:00 pm,Summer,
Ritchie Valens Park,7,Fall GPLA Softball - Juniors,Softball,0,0,55,13,15,9/9/2017,11/25/2017, 9:30 am,12:00 PM,Fall,
Ritchie Valens Park,7,Winter Girls Basketball - GPLA (13-15),Basketball,0,0,50,15,15,1/14/2017,3/11/2017, 9:00 am, 6:00 pm,Winter,
,,,,,,,,,,,,,,
